case,label,method,sample_count,mean_error_m,rmse_m,total_windows,retained_counts,retention_ratios
uav1,UAV 1,EKF,501,2.0572945464917702,2.46599025790553,501,387;425;390,0.772455;0.848303;0.778443
uav1,UAV 1,EKF+RTS,501,1.6848476179906127,2.0405662656988133,501,387;425;390,0.772455;0.848303;0.778443
uav1,UAV 1,JointOpt,501,0.9522972682894996,0.978863864910211,501,387;425;390,0.772455;0.848303;0.778443
uav2,UAV 2,EKF,501,2.2658493877414707,2.652377798746403,501,415;395;378,0.828343;0.788423;0.754491
uav2,UAV 2,EKF+RTS,501,2.140050361576078,2.420849640911448,501,415;395;378,0.828343;0.788423;0.754491
uav2,UAV 2,JointOpt,501,0.7222651101374441,0.7656140315336736,501,415;395;378,0.828343;0.788423;0.754491
uav3,UAV 3,EKF,500,1.5001426734704388,1.663458921562528,501,435;423;93,0.868263;0.844311;0.185629
uav3,UAV 3,EKF+RTS,500,1.4614301151452345,1.6335514584416555,501,435;423;93,0.868263;0.844311;0.185629
uav3,UAV 3,JointOpt,500,0.6907889220433635,0.7854759849562971,501,435;423;93,0.868263;0.844311;0.185629
uav4,UAV 4,EKF,499,1.923106348447036,2.077021080834629,501,361;413;254,0.720559;0.824351;0.506986
uav4,UAV 4,EKF+RTS,499,1.6261165063549137,1.763127056816286,501,361;413;254,0.720559;0.824351;0.506986
uav4,UAV 4,JointOpt,499,0.9569381804906376,1.0490157828866307,501,361;413;254,0.720559;0.824351;0.506986
